method name, network category, cost change (5th), cost change (25th), cost change (median), cost change (75th), cost change (95th), bytes change (5th), bytes change (25th), bytes change (median), bytes change (75th), bytes change (95th)
CombinedPatchSubset,2G,-0.049569230348281604,0.8968061349132561,2.2987176705399115,5.463134016648841,11.147813164220711,-0.8472358785518015,-0.7583582658186171,-0.6418414900095594,-0.5297313903639497,-0.3107814390878264
CombinedPatchSubset,3G,-0.9204982987613869,-0.7624897498251442,-0.5632523475702602,-0.3114492000443274,0.09719588554628265,-0.9786710911885963,-0.9421644417029915,-0.9002097918644044,-0.8442060402141564,-0.7215488911786958
CombinedPatchSubset,4G,-0.9878367149218704,-0.9669169167455262,-0.9207164252667424,-0.8797405191601735,-0.7742329899006687,-0.9871133107081176,-0.9540043059059707,-0.9149371193168543,-0.861649043143903,-0.7418746497608096
CombinedPatchSubset,desktop,-0.9934509457262557,-0.9859665351917292,-0.976752703993884,-0.9620288801952921,-0.8644555388017523,-0.9871133107081176,-0.9540043059059707,-0.9149371193168543,-0.861649043143903,-0.7418746497608096
CombinedPatchSubset,wifi,-0.9925868667998005,-0.9838629402973728,-0.9696039420675577,-0.9469278363611454,-0.8664949896788912,-0.9871133107081176,-0.9540043059059707,-0.9149371193168543,-0.861649043143903,-0.7418746497608096
GoogleFonts_UnicodeRange,2G,-0.03775460281483924,0.8032137165416144,1.89892277067751,4.711662766856984,9.92038429881325,-0.8099771593641438,-0.6527748362933619,-0.496362285510689,-0.3418592299416785,-0.1424678607551409
GoogleFonts_UnicodeRange,3G,-0.558085321241296,-0.03981095878120253,0.3401690023242667,0.8029799081105786,1.5504001555327753,-0.8099771593641438,-0.6527748362933619,-0.496362285510689,-0.3418592299416785,-0.1424678607551409
GoogleFonts_UnicodeRange,4G,-0.8491857537718384,-0.3592841132138602,-0.09785616230570066,0.04982230570686902,0.3643586441896105,-0.8099771593641438,-0.6527748362933619,-0.496362285510689,-0.3418592299416785,-0.1424678607551409
GoogleFonts_UnicodeRange,desktop,-0.8781652530951882,-0.6953322767117025,-0.5874511623150951,-0.4137372822872183,-0.08779018205687594,-0.8099771593641438,-0.6527748362933619,-0.496362285510689,-0.3418592299416785,-0.1424678607551409
GoogleFonts_UnicodeRange,wifi,-0.8439043373783133,-0.631725731445995,-0.4892749615447302,-0.22712517023180706,0.0356966125839839,-0.8099771593641438,-0.6527748362933619,-0.496362285510689,-0.3418592299416785,-0.1424678607551409
RangeRequest,2G,0.4266664372890091,1.771297300887107,2.8418910846345242,5.9350271757596005,11.70795000467402,-0.9550150203955345,-0.8581710265824246,-0.7968469918589588,-0.7257572117188253,-0.4895245801431406
RangeRequest,3G,-0.5494747463648093,-0.26647594450137946,0.04685115211209445,0.3837688692654454,0.8814253219384742,-0.9550150203955345,-0.8581710265824246,-0.7968469918589588,-0.7257572117188253,-0.4895245801431406
RangeRequest,4G,-0.9020589292651543,-0.8498214965930144,-0.6456460881978092,-0.3949234495650417,-0.1060254488733395,-0.9550150203955345,-0.8581710265824246,-0.7968469918589588,-0.7257572117188253,-0.4895245801431406
RangeRequest,desktop,-0.9434168005548098,-0.898002414327392,-0.8676130189458624,-0.805594513780083,-0.46870812771196774,-0.9550150203955345,-0.8581710265824246,-0.7968469918589588,-0.7257572117188253,-0.4895245801431406
RangeRequest,wifi,-0.9199677372989277,-0.8695606319729887,-0.7998012208840969,-0.7160906485762433,-0.45040242921029805,-0.9550150203955345,-0.8581710265824246,-0.7968469918589588,-0.7257572117188253,-0.4895245801431406
