method name, network category, cost change (5th), cost change (25th), cost change (median), cost change (75th), cost change (95th), bytes change (5th), bytes change (25th), bytes change (median), bytes change (75th), bytes change (95th)
CombinedPatchSubset,2G,-0.04507502569480598,-0.007309681017863556,0.051308075207075365,0.8629756148842848,2.5831361886312663,-0.7908959299453159,-0.5601696136844129,-0.432774050330493,-0.09396308638810558,0.07431444877505577
CombinedPatchSubset,3G,-0.7893603964469131,-0.5322447952289131,-0.19398476991859592,0.029839717323497883,0.8634028346853133,-0.8327673544850004,-0.6413153329094903,-0.5154094087730451,-0.26634035354448093,-0.0308469231749267
CombinedPatchSubset,4G,-0.9136807847557664,-0.8142134310888204,-0.680006396079178,-0.21943238970219953,0.1983914401248866,-0.8271912497428001,-0.6315862122810163,-0.4985480601663598,-0.2497513971113467,0.005899480468236229
CombinedPatchSubset,desktop,-0.8763943262954692,-0.3005895576259215,-0.05092648527774768,0.05913343229542323,0.16347218843940794,-0.8271912497428001,-0.6315862122810163,-0.4985480601663598,-0.2497513971113467,0.005899480468236229
CombinedPatchSubset,wifi,-0.9169447886128722,-0.5456209333661735,-0.1744626368759763,0.0718443326822964,0.23071747927563221,-0.8271912497428001,-0.6315862122810163,-0.4985480601663598,-0.2497513971113467,0.005899480468236229
GoogleFonts_UnicodeRange,2G,-0.047683631541339776,-0.015583230515821778,-0.003620734338655729,-0.0002770149178602521,0.9720201449080632,-0.8041051419068219,-0.6171446883512257,-0.4282465485916276,-0.13960522942835174,-0.016150627615062807
GoogleFonts_UnicodeRange,3G,-0.7509929025614419,-0.530254096381946,-0.2373699369586868,-0.015356142569855735,0.5008510772356691,-0.8041051419068219,-0.6171446883512257,-0.4282465485916276,-0.13960522942835174,-0.016150627615062807
GoogleFonts_UnicodeRange,4G,-0.8722060596840631,-0.7585901091934882,-0.49943016537378515,-0.0965247596902945,-0.001607742946507762,-0.8041051419068219,-0.6171446883512257,-0.4282465485916276,-0.13960522942835174,-0.016150627615062807
GoogleFonts_UnicodeRange,desktop,-0.8460456182932958,-0.3213384093506702,-0.11205995647617206,-0.009868981529641552,0.046676115834654495,-0.8041051419068219,-0.6171446883512257,-0.4282465485916276,-0.13960522942835174,-0.016150627615062807
GoogleFonts_UnicodeRange,wifi,-0.895561805707969,-0.5324990376083649,-0.23251885714516096,-0.020349244987440174,0.04164097946744714,-0.8041051419068219,-0.6171446883512257,-0.4282465485916276,-0.13960522942835174,-0.016150627615062807
RangeRequest,2G,0.2730472083371972,1.5925586050666223,1.7338465476952467,3.9510622979686296,7.196606649135937,-0.5328453473788037,-0.31661511593817604,-0.20855459674742782,-0.11043670794154414,0.030527231658760524
RangeRequest,3G,0.10711788302984919,0.6158761833891235,1.3452680232473915,2.151620056069384,4.8123987918722175,-0.5328453473788037,-0.31661511593817604,-0.20855459674742782,-0.11043670794154414,0.030527231658760524
RangeRequest,4G,-0.08272749709945527,0.15917852992936876,0.5486796006686625,1.7107262813814075,2.717984923913816,-0.5328453473788037,-0.31661511593817604,-0.20855459674742782,-0.11043670794154414,0.030527231658760524
RangeRequest,desktop,-0.1559364493783105,0.33548613955449025,0.49463447182835796,0.6012559006268837,0.749739921786864,-0.5328453473788037,-0.31661511593817604,-0.20855459674742782,-0.11043670794154414,0.030527231658760524
RangeRequest,wifi,-0.12196627199459661,0.5309689680364464,0.9065351852263679,1.1614182236134298,1.4691902693161765,-0.5328453473788037,-0.31661511593817604,-0.20855459674742782,-0.11043670794154414,0.030527231658760524
